1	44988
2	45595
3	49681
4	52379
5	44546
6	48230
7	48277
8	48712
9	47250
10	45985
11	47326
12	47296
13	46115
14	50792
15	49921
16	49506
17	49422
18	47354
19	46511
20	39642
21	37413
22	24002
23	22470
24	4646
25	4294940998
26	4294898354
27	4294821145
28	4294698688
29	4294499496
30	4294188008
31	4293665632
1	53411
2	49860
3	48098
4	55172
5	47944
6	46959
7	44362
8	44071
9	45487
10	50671
11	51797
12	49353
13	48232
14	47507
15	47181
16	47288
17	46263
18	41145
19	42344
20	46007
21	44847
22	29879
23	20535
24	198
25	4294942996
26	4294895996
27	4294817952
28	4294698741
29	4294499364
30	4294182006
31	4293665973
